deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
train_barishal_0001.wav,1.8744514,1.8576354,3.7620175,2.686639,3.1110744,NISQAv2
train_barishal_0002.wav,1.7408196,2.0740569,3.478931,2.4880307,2.882578,NISQAv2
train_barishal_0003.wav,1.8058329,1.6648276,3.7917128,2.3300943,3.05555,NISQAv2
train_barishal_0004.wav,1.495055,1.4184669,3.720245,2.0382297,2.8766947,NISQAv2
train_barishal_0005.wav,2.2189374,1.6782533,3.8780274,2.2141252,3.0138905,NISQAv2
train_barishal_0006.wav,1.939913,1.7504752,3.5035794,2.0721517,2.919228,NISQAv2
train_barishal_0007.wav,1.9088538,1.9085653,3.781343,2.5450602,3.3580577,NISQAv2
train_barishal_0008.wav,1.7333565,1.9310467,3.7816284,2.3636065,3.2273114,NISQAv2
train_barishal_0009.wav,1.8092529,1.8573443,3.0762935,2.0567234,2.375389,NISQAv2
train_barishal_0010.wav,1.7060727,1.796925,3.5203216,1.8875105,2.752429,NISQAv2
train_barishal_0011.wav,1.9361365,1.8249105,3.6083841,2.4595056,2.8300078,NISQAv2
train_barishal_0012.wav,1.7211958,1.2998922,3.6986697,2.3547401,3.0537558,NISQAv2
train_barishal_0013.wav,1.9396654,2.214006,3.022933,2.2864368,2.6486437,NISQAv2
train_barishal_0014.wav,2.000375,1.7000788,3.1478562,2.571756,2.6775825,NISQAv2
train_barishal_0015.wav,2.165767,1.495371,3.7374046,2.9366198,2.3479383,NISQAv2
train_barishal_0016.wav,1.8887987,1.3344233,3.7131233,2.8006113,2.436374,NISQAv2
train_barishal_0017.wav,1.444614,1.3637861,3.4625788,2.0986118,2.2422585,NISQAv2
train_barishal_0018.wav,1.8904705,1.781982,3.5499918,2.5537605,2.9181123,NISQAv2
train_barishal_0019.wav,1.907346,1.7093445,3.5513742,2.245208,2.4002635,NISQAv2
train_barishal_0020.wav,1.9997368,1.4262367,3.5075102,2.5340142,2.581147,NISQAv2
train_barishal_0021.wav,2.1348002,2.3156755,3.5922024,2.5050635,2.5208614,NISQAv2
train_barishal_0022.wav,1.9516666,1.469876,3.520786,2.3996973,2.5628548,NISQAv2
train_barishal_0023.wav,1.8182093,1.5042881,3.486788,2.222627,2.6557994,NISQAv2
train_barishal_0024.wav,2.5844643,2.1479208,3.572833,2.4036176,3.0727658,NISQAv2
train_barishal_0025.wav,2.5891802,2.0396695,3.6294281,3.030283,2.3203528,NISQAv2
train_barishal_0026.wav,2.3761606,2.4266324,3.638421,2.9862607,2.339908,NISQAv2
train_barishal_0027.wav,2.083461,1.8322057,3.514562,2.4386766,2.806606,NISQAv2
train_barishal_0028.wav,1.9695436,2.064139,3.2279773,2.230003,2.9997275,NISQAv2
train_barishal_0029.wav,2.2196813,1.8922961,3.39659,2.2884645,3.0996156,NISQAv2
train_barishal_0030.wav,2.0126317,1.7639018,3.5697644,2.2646286,2.914413,NISQAv2
train_barishal_0031.wav,1.9520841,1.5704589,3.390131,2.3966174,1.9665835,NISQAv2
train_barishal_0032.wav,2.0042431,1.6403003,3.3194098,2.118579,2.229183,NISQAv2
train_barishal_0033.wav,2.2115705,1.9049333,3.6984284,2.4449024,2.7176914,NISQAv2
train_barishal_0034.wav,1.871293,1.568257,3.4734218,2.628616,2.5574255,NISQAv2
train_barishal_0035.wav,2.150236,2.5298293,3.6395829,2.7834826,3.0063002,NISQAv2
train_barishal_0036.wav,1.7497312,1.6122141,3.7421677,2.0510747,2.99727,NISQAv2
train_barishal_0037.wav,2.4216752,2.0614371,3.4380794,2.8312674,3.1147184,NISQAv2
train_barishal_0038.wav,1.9970376,1.7334938,3.6141336,2.4982903,2.725277,NISQAv2
train_barishal_0039.wav,2.3494678,1.9934698,3.6692944,2.571764,2.3270094,NISQAv2
train_barishal_0040.wav,2.2977726,1.7635576,3.7840683,3.013747,2.5088627,NISQAv2
train_barishal_0041.wav,1.9234856,1.6388319,3.372603,2.561113,2.1097987,NISQAv2
train_barishal_0042.wav,1.7800277,1.3951355,3.4281766,2.57239,2.1919804,NISQAv2
train_barishal_0043.wav,2.803495,2.1889,3.5098228,3.1097627,3.1325567,NISQAv2
train_barishal_0044.wav,2.3132567,1.8711989,3.4306617,2.7521517,3.0337691,NISQAv2
train_barishal_0045.wav,2.5142612,1.8541995,3.5454228,2.4949613,3.1428668,NISQAv2
train_barishal_0046.wav,2.1940255,1.6199672,3.7622502,3.1429787,2.334466,NISQAv2
train_barishal_0047.wav,2.2580173,1.7352577,3.4342175,3.0050445,2.1502948,NISQAv2
train_barishal_0048.wav,2.4851139,1.8328918,3.3896952,3.0973766,3.3698418,NISQAv2
train_barishal_0049.wav,2.7153738,2.2126641,3.735395,2.593094,3.291004,NISQAv2
train_barishal_0050.wav,2.3691661,2.0587897,3.0892963,2.8505063,3.1745365,NISQAv2
train_barishal_0051.wav,2.1672494,1.7160317,3.4807339,2.588389,3.3646092,NISQAv2
train_barishal_0052.wav,2.3650875,1.651506,3.4207656,2.900802,3.459983,NISQAv2
train_barishal_0053.wav,2.2518287,1.7385074,3.4137263,2.8873928,2.3101118,NISQAv2
train_barishal_0054.wav,2.429251,1.8191843,3.6248846,2.9216957,3.2996464,NISQAv2
train_barishal_0055.wav,2.1841588,1.7822798,3.394504,2.8683047,2.0579917,NISQAv2
train_barishal_0056.wav,1.9668564,1.8537837,3.660421,2.6125462,2.827111,NISQAv2
train_barishal_0057.wav,1.991203,1.8150418,3.6510365,2.3247411,2.6377704,NISQAv2
train_barishal_0058.wav,2.3988307,1.7942164,3.6556697,2.7584722,2.4655576,NISQAv2
train_barishal_0059.wav,2.4044816,2.0612738,3.3339605,2.773941,2.1015294,NISQAv2
train_barishal_0060.wav,2.2172296,1.6176519,3.463661,2.4050493,2.414659,NISQAv2
train_barishal_0061.wav,1.9974765,1.4825429,3.6938984,2.573864,2.873658,NISQAv2
train_barishal_0062.wav,2.1399343,2.523054,3.3917265,2.7123308,2.977202,NISQAv2
train_barishal_0063.wav,3.106685,2.3141656,3.9969087,2.964966,3.5909631,NISQAv2
train_barishal_0064.wav,2.688128,2.0022266,3.8893335,2.8026342,3.2770288,NISQAv2
train_barishal_0065.wav,2.5273387,2.0043268,3.3463771,2.7158465,2.946099,NISQAv2
train_barishal_0066.wav,2.358905,1.790352,3.6614065,2.7491875,2.650259,NISQAv2
train_barishal_0067.wav,1.8812592,1.3816745,3.476255,2.724792,2.3927562,NISQAv2
train_barishal_0068.wav,2.3562007,1.9438207,3.00529,2.6766493,2.5637238,NISQAv2
train_barishal_0069.wav,2.5441973,1.881637,3.5701027,3.0353777,2.3164623,NISQAv2
train_barishal_0070.wav,2.760525,2.1737535,3.374066,3.1140866,2.6825907,NISQAv2
train_barishal_0071.wav,2.1211789,1.8288751,2.8675504,2.7196429,2.110498,NISQAv2
train_barishal_0072.wav,2.2353718,2.202562,2.8835428,2.4841504,2.833057,NISQAv2
train_barishal_0073.wav,2.2332637,2.06546,3.3002799,2.1040168,3.0442555,NISQAv2
train_barishal_0074.wav,1.9918485,1.8661138,3.4423163,2.780753,2.816428,NISQAv2
train_barishal_0075.wav,2.136259,1.7466199,3.587557,2.6024525,2.7040882,NISQAv2
train_barishal_0076.wav,2.2423253,2.1386309,3.4981642,2.5160718,2.7248542,NISQAv2
train_barishal_0077.wav,2.1109607,1.6259661,3.5606205,2.6745052,2.3272452,NISQAv2
train_barishal_0078.wav,2.259204,2.579301,2.9061463,2.6178663,2.7134116,NISQAv2
train_barishal_0079.wav,2.372067,2.1091967,3.6557376,2.6490567,2.9501486,NISQAv2
train_barishal_0080.wav,2.2505722,1.7638544,3.3965495,2.5128014,2.8024201,NISQAv2
train_barishal_0081.wav,2.1542697,2.019842,3.4473112,2.5557964,2.7117507,NISQAv2
train_barishal_0082.wav,2.0920386,1.9578489,3.4882479,2.377095,2.3769891,NISQAv2
