file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
/kaggle/input/interspeech-2025/train/train_comilla_0167.wav,0 days,0 days 00:00:18.752000,41.347588,0.1538365,35.834587,38.69006,49.22725,13.392662,231.50902,273.69656,124.98818,110.71418,0.77855116,0.70837414,0.30620664,0.6608968,1.1752796,0.869073,15.498558,9.035397,11.829668,6.9049606,0.43959153,0.9886809,12.007029,1.0529401,-6.6184154,-2.0557637,-11.776632,-1.1191143,-31.707771,-0.49730206,0.04079471,1.2809279,1.3615694,0.5675825,7.779208,0.5218768,7.8516293,1.1370648,16.800472,0.8622652,876.77203,0.2247055,1416.6072,0.23528822,-67.14903,-1.3218331,1840.3649,0.118289255,1087.9808,0.34315747,-63.9821,-1.2738787,2873.3389,0.072392516,888.5325,0.41474468,-66.14861,-1.206495,-12.630439,-0.53863716,22.994066,0.33340055,0.10779023,0.1491006,-0.025325272,-0.7219806,0.54852724,0.82301784,15.28087,0.6558961,-7.999283,-1.7552272,-11.720645,-1.1932365,-36.771255,-0.38941145,-3.7938306,12.669033,0.080319315,-0.007682481,0.16190451,4.589114,2.4077046,0.292,0.27604827,0.12,0.12769206,-19.199732
/kaggle/input/interspeech-2025/train/train_comilla_0172.wav,0 days,0 days 00:00:22.816000,37.721333,0.15006475,33.639637,35.170517,45.601936,11.962299,190.03954,310.13007,76.68794,116.703514,0.420464,0.71075207,0.13192841,0.36411586,0.68334097,0.5514126,7.500651,4.06145,6.1182156,3.654441,0.17444599,1.0838591,15.803611,0.7548731,-1.922051,-6.616917,-9.773601,-1.2429997,-23.460802,-0.72568554,0.032050215,1.4523298,1.3603812,0.6717847,7.831961,0.5444838,6.7026463,1.1989484,24.217018,0.5041047,826.7511,0.23600928,1430.0497,0.17426515,-71.516426,-1.2973052,1810.4987,0.10667897,1082.3711,0.33118963,-72.7918,-1.1898597,2876.5098,0.06970929,861.13367,0.37710595,-76.260185,-1.1006434,-16.47612,-0.3939152,26.292578,0.2853115,0.09870626,0.18019201,-0.026559643,-0.5496502,0.23690152,0.81358296,20.770481,0.4446978,-2.3666103,-5.433239,-8.962855,-1.4743103,-30.41202,-0.48919612,-5.8904543,13.948832,0.061899457,-0.0006134476,0.049362265,4.2105265,2.4186456,0.26799998,0.28405115,0.16875,0.23869632,-25.92973
/kaggle/input/interspeech-2025/train/train_comilla_0121.wav,0 days,0 days 00:00:15.168000,41.223057,0.113573804,37.409252,40.902668,44.28763,6.878376,91.74794,107.83722,115.75519,108.43515,1.03169,0.71853346,0.3313353,0.86349875,1.7918164,1.460481,15.991209,8.700267,13.466487,7.047951,0.52297693,0.9883134,11.026534,0.8415944,-18.460281,-0.80865175,-8.654867,-1.880003,-46.34032,-0.47697783,0.024163367,1.3305876,1.2092471,0.6689148,7.655738,0.5743838,6.022387,2.008965,15.4189005,0.70654094,885.30457,0.21568426,1247.4609,0.19602033,-37.322327,-2.107462,1907.2733,0.10967377,982.77094,0.41182423,-41.26808,-1.6940382,2881.2717,0.06757024,875.01025,0.40840986,-41.22804,-1.6807972,-7.3760595,-0.9203631,17.018433,0.38544375,0.08949597,0.22656175,-0.019062964,-0.94085884,0.59733504,0.87109965,12.451883,0.64576274,-19.834236,-0.75293714,-7.9114413,-2.120113,-50.168568,-0.4292139,-2.3575873,11.539202,0.08554255,-0.002846652,0.1875956,4.7524753,2.451955,0.32702702,0.24048223,0.07551724,0.074119486,-18.191568
/kaggle/input/interspeech-2025/train/train_comilla_0231.wav,0 days,0 days 00:00:16.672000,30.014475,0.10819228,28.02571,29.952244,31.27852,3.2528114,302.5601,472.1417,82.28588,127.609535,1.1713088,0.6968207,0.45673513,0.9099635,1.8301879,1.3734528,18.257574,11.233987,17.665934,9.248583,0.5316659,0.848022,21.023376,0.5009942,-1.9908347,-5.6441097,9.677402,1.1125675,-10.772122,-1.2577624,0.0182574,1.1074892,1.2019731,0.6621057,5.1122932,0.5685245,2.5704367,2.9285312,19.769953,0.504722,667.6189,0.40294844,1319.1367,0.18764406,-95.79643,-0.9942738,1686.957,0.17885308,1022.311,0.23016347,-93.137596,-0.972729,2755.2407,0.11673252,920.9081,0.3512675,-96.563156,-0.90788436,-8.875386,-0.69712967,18.817013,0.38698962,0.035730686,0.5980205,-0.01260749,-1.1044108,0.755682,0.5810201,25.53486,0.3153084,-3.7345443,-3.3813617,10.700917,1.0840557,-14.741895,-0.97257644,-6.3504195,14.742162,-0.0007339366,-0.0038592909,0.24418001,3.9615846,2.408188,0.225,0.179722,0.1781579,0.2535003,-18.255295
/kaggle/input/interspeech-2025/train/train_comilla_0180.wav,0 days,0 days 00:00:16.668000,28.357965,0.111071415,26.10273,28.26641,30.666656,4.5639267,191.31587,327.9503,28.854633,29.804735,0.41603443,0.8498781,0.12545092,0.31227562,0.6356046,0.5101537,7.0610704,5.0799975,6.8077774,4.7309203,0.15158665,1.1364645,26.216604,0.37653306,5.7092166,2.3638875,15.39707,0.8526229,4.6791444,2.9204006,0.023086557,1.7645793,1.2278402,0.71831095,5.792089,0.42429098,3.6131604,2.8860343,20.380293,0.44607908,472.63065,0.3612472,1264.6749,0.15724215,-64.46022,-1.3275758,1528.4043,0.13539729,913.23596,0.2732667,-69.34047,-1.1460583,2576.4343,0.09657384,894.1323,0.38782638,-72.32324,-1.0720224,-13.472926,-0.46949136,20.979406,0.34171608,0.0026428546,10.175175,-0.012106373,-1.1130729,0.18097968,1.0349061,29.408024,0.23875564,3.108097,4.4061503,16.431921,0.85170996,2.8112273,5.2451634,-18.873623,29.121185,-0.033414397,0.002021091,0.082447246,4.204204,2.7761014,0.24586956,0.20647745,0.09772727,0.11165823,-27.438005
/kaggle/input/interspeech-2025/train/train_comilla_0044.wav,0 days,0 days 00:00:15.328000,27.513308,0.11821772,25.440166,27.75135,29.771114,4.330948,47.61659,69.36241,102.028336,275.36337,0.5528558,0.73771745,0.19608016,0.44280574,0.8030114,0.60693127,6.813696,5.133127,6.3915024,4.9955926,0.19832678,1.0412745,26.150253,0.45987386,5.3098044,2.0193021,13.954897,1.0335732,-4.825996,-2.3465872,0.017139174,1.2001314,0.997541,0.7157594,5.864811,0.45235726,1.5197345,5.5268674,23.345621,0.36657307,524.58624,0.36705023,1342.3529,0.14161246,-71.68883,-1.2626758,1560.84,0.13800108,1016.05597,0.28408012,-78.33959,-1.0711519,2615.486,0.10088805,940.18774,0.30899665,-82.21569,-0.9866497,-14.291302,-0.36995396,22.889467,0.28241265,0.040239703,0.5119762,-0.018337976,-0.77742696,0.25294176,0.86770517,30.934912,0.26907536,4.468763,2.5431077,14.053702,1.1126239,-5.891955,-1.9679247,-9.413051,16.719387,-0.0023079584,-0.0031920322,0.09385412,2.808622,2.359109,0.27055556,0.21535428,0.1362857,0.2044377,-23.743813
/kaggle/input/interspeech-2025/train/train_comilla_0184.wav,0 days,0 days 00:00:16.224000,30.342207,0.07580224,28.473404,30.447618,32.150604,3.6772003,115.11043,163.43788,25.57951,16.247952,0.3006931,0.6633443,0.11640992,0.25615433,0.4722801,0.3558702,4.1092763,2.3971152,3.740733,2.000238,0.08691225,0.7835664,27.732782,0.37504566,7.56602,1.791902,14.053415,1.0454264,2.4874692,4.7601237,0.021206697,1.1315814,1.1204054,0.79077345,6.9701843,0.33003584,3.8127217,1.963265,22.888054,0.36871833,493.16837,0.3924931,1287.2069,0.13831092,-56.85875,-1.446736,1536.7528,0.1574873,980.04065,0.33899814,-64.289856,-1.1808312,2605.3147,0.09422196,895.4536,0.3727849,-68.84144,-1.064542,-14.160086,-0.45256504,23.742903,0.3149723,0.001065021,19.086224,-0.005778885,-2.1759753,0.09907577,0.6911573,31.013632,0.25976533,4.8810973,2.8648822,16.159885,0.9531175,1.6304268,7.764566,-20.619255,32.13559,-0.030371798,0.00032055433,0.052511748,4.7501545,2.3514853,0.3073684,0.28015676,0.0951282,0.089381665,-33.253735
/kaggle/input/interspeech-2025/train/train_comilla_0009.wav,0 days,0 days 00:00:15.420000,33.593864,0.19458607,29.50908,31.35599,36.381332,6.8722515,144.9721,98.817154,190.25125,364.35486,1.0835831,0.62146765,0.39415038,0.99956036,1.7521588,1.3580084,17.233698,8.231195,13.417178,6.939964,0.5753696,0.7855755,20.185051,0.4943858,-22.954018,-0.5511791,-1.4872214,-9.029472,-32.22533,-0.46353963,0.04118066,1.4717516,1.5434402,0.52738476,5.07529,0.6065771,-4.391239,-3.235156,10.749772,1.1648682,842.2385,0.33886215,1254.1869,0.23411089,-29.886341,-2.8337047,1865.0529,0.14372094,1071.1382,0.34135845,-28.179815,-2.75913,2852.9775,0.09708981,1011.66614,0.35418406,-30.135843,-2.5526018,-9.69692,-0.5713061,18.86219,0.40429482,0.112983964,0.1568788,-0.024914272,-0.57685447,0.654778,0.6665459,22.14662,0.34737656,-24.225876,-0.50314504,-1.2549111,-10.908325,-34.741314,-0.40734354,-2.9035883,11.803517,0.07821515,-0.006931513,0.22836655,4.9318624,2.2831051,0.34971428,0.34878963,0.078,0.087840766,-17.899471
/kaggle/input/interspeech-2025/train/train_comilla_0040.wav,0 days,0 days 00:00:15.876000,26.723547,0.122103505,23.746452,27.147888,29.352377,5.6059246,135.527,241.09528,21.158195,12.0891285,0.64062595,0.97857237,0.15053347,0.41491652,1.0507487,0.90021527,9.373727,5.942129,9.522486,6.2704897,0.2501303,1.2157214,24.539965,0.46281058,6.7925963,1.4270778,6.0879116,2.3767138,0.47999805,23.0435,0.01962577,1.3975226,0.96223956,0.69528747,5.802707,0.5354266,1.2685181,4.3590837,23.517433,0.43144685,558.47327,0.3896263,1344.4725,0.15277581,-101.03217,-0.96318173,1574.9607,0.15552367,1055.7314,0.2605701,-104.45457,-0.88018537,2622.1077,0.11705082,961.1975,0.30142745,-108.676315,-0.80832547,-13.795792,-0.44479114,24.54507,0.28425753,0.038727272,0.5715796,-0.020083735,-0.6907171,0.41527158,0.79698914,31.646471,0.25440574,6.9307137,1.7153153,2.2295117,7.638007,0.3020312,43.06559,-10.015262,18.35847,-0.0010795278,0.00097513635,0.07529678,2.3959649,1.0752689,0.4705882,0.5244658,0.41444442,0.50481266,-20.899862
/kaggle/input/interspeech-2025/train/train_comilla_0156.wav,0 days,0 days 00:00:16.480000,39.45554,0.15515622,34.641727,37.06785,45.655346,11.013618,295.33502,538.55475,125.92485,113.30209,0.702779,0.89280874,0.1978702,0.49815795,1.0731708,0.8753006,14.639048,10.740209,10.262404,7.9396853,0.34530577,1.3414322,11.860126,1.055622,-8.947701,-1.5452635,-11.57296,-1.2682166,-29.524296,-0.44267866,0.034703333,1.2265995,1.3239318,0.5420312,6.608088,0.671863,8.392886,1.2333077,19.188128,0.6976799,907.4442,0.23471579,1348.5579,0.23550846,-67.038574,-1.3528278,1849.9446,0.13012177,1134.6434,0.35469496,-64.52171,-1.3090291,2889.91,0.07681874,883.92633,0.40617165,-67.092476,-1.2297775,-10.254941,-0.72985566,21.028048,0.39366585,0.10022713,0.18558821,-0.0143500855,-1.2746645,0.41657186,1.1407022,15.823688,0.62993985,-10.763066,-1.3204521,-10.3733835,-1.5060556,-32.443535,-0.41411218,-4.02014,12.33605,0.08268093,-0.0044585518,0.178016,3.5215545,2.1341465,0.3222857,0.29958147,0.12794118,0.20694952,-20.737747
