file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
/kaggle/input/interspeech-2025/train/train_habiganj_0373.wav,0 days,0 days 00:00:16.352000,32.86509,0.102516375,30.360054,32.34154,35.097477,4.737423,210.4611,418.86298,207.13477,498.355,1.4464105,0.4818783,0.7877184,1.2335469,2.1151676,1.3274492,18.824759,9.511297,17.589443,10.293661,0.83761394,0.64961725,24.437365,0.4222492,0.15591194,72.3045,9.951221,1.1203282,-8.005964,-1.6228294,0.014498912,0.97286654,1.1794145,0.6192799,6.5816774,0.41001338,4.695729,1.7960702,19.91943,0.34017858,626.7651,0.39860466,1310.6139,0.15990837,-118.17845,-0.8025992,1658.9344,0.18918508,1003.65625,0.2827334,-113.65872,-0.80765486,2686.183,0.09871705,876.7647,0.32989255,-115.79799,-0.7728636,-10.030108,-0.44443843,18.679031,0.28692192,0.042913646,0.46038666,-0.022830285,-0.5334793,1.0450602,0.44506708,28.357746,0.27394322,-5.6200542,-1.8763156,8.951133,1.4944364,-14.925657,-0.8796943,-9.794743,18.011614,0.0034310783,-0.013479081,0.6663714,4.5899634,2.0257828,0.2160606,0.19800428,0.24970588,0.45172536,-15.5385475
/kaggle/input/interspeech-2025/train/train_habiganj_0337.wav,0 days,0 days 00:00:20.064000,34.16586,0.1146776,31.494455,33.833797,36.89204,5.397585,268.02676,637.8448,78.89909,72.67087,1.019163,0.6318504,0.4437929,0.8419215,1.527328,1.0835351,15.079125,9.204754,13.5532465,8.463528,0.4799343,0.9287009,16.654028,0.5953803,-0.24989553,-51.943985,8.358721,1.5264368,-14.146452,-1.0647957,0.023543384,1.6654376,1.2629241,0.55936396,5.8513627,0.4714629,3.6673622,2.982367,13.374847,0.6561891,659.515,0.38326374,1262.1488,0.17586358,-103.98571,-0.9293821,1701.576,0.17390582,950.8773,0.31609103,-96.96277,-0.9461923,2701.4138,0.10337456,804.9169,0.28916055,-97.54156,-0.9333182,-7.9462023,-0.5681895,14.459872,0.42356515,0.046398316,0.5093967,-0.02164215,-0.66917473,0.6909588,0.68044686,21.202072,0.36675033,-6.37839,-2.0848267,6.491352,2.3736205,-22.44886,-0.6230846,-5.6872296,11.5047035,0.014312435,-0.0073256376,0.23174264,4.289277,2.45,0.21163265,0.1997687,0.1831915,0.2806384,-19.376347
/kaggle/input/interspeech-2025/train/train_habiganj_0313.wav,0 days,0 days 00:00:19.456000,34.27164,0.16190803,29.542265,32.09712,37.525333,7.9830685,139.61218,119.55552,71.014824,124.365135,0.8341468,0.5116987,0.51991093,0.69766057,1.0766616,0.55675066,6.848125,5.2274203,5.294251,4.178281,0.3094234,0.6212174,18.81265,0.41346487,-2.2089164,-3.1978002,5.0473285,1.7577091,-7.9278393,-1.2985691,0.02489499,1.5124913,1.2978257,0.45755413,4.1476445,0.72028005,0.24033706,43.762287,12.204192,0.75047326,697.30273,0.35862634,1287.5199,0.19016233,-148.00919,-0.5574397,1721.8474,0.15737624,1038.253,0.2657273,-144.06007,-0.5679647,2703.2588,0.09966438,896.3821,0.3348524,-144.7944,-0.5582689,-8.789801,-0.6379054,15.998334,0.4214912,0.04429959,0.54021204,-0.014868443,-1.1280863,0.43182114,0.5496905,22.315395,0.40440416,-5.5476108,-1.4204658,8.109304,1.4460049,-12.154774,-1.0562236,-6.4780807,13.955372,0.025976425,-0.0075269355,0.25717166,2.5720167,2.5786488,0.10699999,0.10587257,0.2604,0.38675037,-24.628027
/kaggle/input/interspeech-2025/train/train_habiganj_0201.wav,0 days,0 days 00:00:16.160000,37.702503,0.11121822,34.095024,37.414215,40.876545,6.781521,91.35812,85.10555,103.64576,205.26724,0.29306304,0.8754278,0.039380476,0.24676122,0.5049681,0.46558762,4.749886,3.7288291,3.2527456,2.0017707,0.09533199,1.0703288,24.081182,0.35048562,-4.051051,-3.4415493,-4.5916066,-2.548738,-12.889503,-1.1276331,0.019784933,1.5286618,1.2710689,0.49209476,7.4318027,0.48229268,5.2057753,2.1210163,25.212975,0.43179917,760.414,0.24234895,1412.6332,0.17697266,-93.08948,-1.013726,1730.4897,0.119095035,1109.0258,0.24112618,-90.43026,-0.98092544,2841.6064,0.07966145,880.64386,0.3952944,-96.273384,-0.87046844,-12.328634,-0.5953129,25.836435,0.27841848,0.06902791,0.3364862,-0.013392938,-1.075598,0.13715176,0.717494,28.06676,0.25447106,-6.9196324,-2.3249152,-7.209123,-1.7991172,-19.20534,-0.75395966,-7.995148,17.515507,0.036276955,0.0062927026,0.03520152,2.8482974,2.1118011,0.2697059,0.24887374,0.1928125,0.29928273,-32.556927
/kaggle/input/interspeech-2025/train/train_habiganj_0353.wav,0 days,0 days 00:00:19.968000,32.003372,0.099188596,29.71203,31.561234,34.423004,4.7109737,103.53144,100.556076,34.07601,31.536959,0.95814294,0.68668646,0.38433972,0.7668465,1.5229266,1.1385869,16.623678,10.010634,14.915622,9.587572,0.4795718,1.0228884,19.07467,0.59323555,-0.8793389,-16.718134,10.745863,1.3572037,-10.18998,-1.4000105,0.021402342,1.4483085,1.3362778,0.64193064,5.616641,0.46648297,-0.91007173,-11.201077,11.707565,0.837548,617.0252,0.40078157,1268.1459,0.1863988,-86.76545,-1.0768423,1654.3304,0.16289853,945.12085,0.3344809,-84.67737,-1.0422643,2660.7473,0.10431679,852.6106,0.3167678,-85.97261,-1.0135863,-8.785474,-0.6369183,16.073305,0.4454462,0.045228746,0.46462694,-0.022075055,-0.74945945,0.65640056,0.80038035,23.63428,0.35293946,-6.740523,-2.182333,12.283094,1.3491302,-15.21775,-0.97521245,-5.9922442,12.171922,0.019750213,-0.0045082844,0.2041384,4.6616545,2.713568,0.21574074,0.18715812,0.13240741,0.12694319,-19.748867
/kaggle/input/interspeech-2025/train/train_habiganj_0557.wav,0 days,0 days 00:00:15.356000,29.220217,0.09728997,27.00689,28.807926,31.234257,4.2273674,84.16986,98.67472,45.505436,72.96105,0.6251821,0.54073495,0.35033804,0.532958,0.8643003,0.51396227,8.688096,6.7298417,6.4624867,4.2927957,0.29657748,0.7193957,27.411398,0.36361116,8.415224,1.1050048,9.443531,1.3554598,-6.0971622,-2.128505,0.020721983,0.9606699,1.2968559,0.55501795,5.8340793,0.43017787,8.000399,0.99409497,28.57751,0.29113153,579.81006,0.37111044,1374.1188,0.157918,-65.836975,-1.3013465,1625.0934,0.16106841,1074.7052,0.26890066,-72.563225,-1.0864316,2706.1038,0.09776128,937.3246,0.3188257,-76.4867,-0.99768764,-16.585352,-0.3174037,25.78083,0.25913113,0.05495717,0.32086825,-0.019254196,-0.63969386,0.34913015,0.6289117,31.027308,0.22062679,8.453109,1.141652,11.519714,1.1669729,-5.731581,-2.4315705,-10.581304,18.440123,0.054134466,-0.011417494,0.17624249,4.758801,2.8178246,0.23930232,0.27889645,0.09761904,0.08262969,-23.302996
/kaggle/input/interspeech-2025/train/train_habiganj_0125.wav,0 days,0 days 00:00:16.540000,36.707455,0.15183216,31.351213,36.73561,40.405422,9.054209,213.57301,325.19812,89.53713,81.119965,0.77045774,0.8532033,0.14875014,0.6289911,1.2669654,1.1182152,12.05625,6.980439,9.578403,6.1773133,0.27571517,1.1212895,13.986174,0.8928379,-10.162137,-1.678727,5.8012705,2.5551293,-15.09483,-1.4312216,0.027819835,2.0130544,1.1778423,0.66275686,5.8472843,0.66111153,-0.71495533,-13.679888,9.509989,1.20747,693.9053,0.42793775,1283.4427,0.24284582,-77.49647,-1.204721,1696.1528,0.16676523,1060.7162,0.3690924,-69.595566,-1.2637068,2709.5725,0.08598795,996.66907,0.35008484,-72.36771,-1.190587,-2.465912,-3.3769965,11.618134,0.76603836,0.059430115,0.33445257,-0.006529846,-2.599643,0.37898216,0.8531758,15.925533,0.81989175,-14.097785,-1.2983321,6.1462507,2.4654307,-19.847271,-1.1617337,-3.1317604,10.452879,0.03192968,0.0111844875,0.064315744,3.6902604,2.2451458,0.2908108,0.21964811,0.14171429,0.32369727,-23.327349
/kaggle/input/interspeech-2025/train/train_habiganj_0682.wav,0 days,0 days 00:00:16.960000,31.40782,0.089557566,29.638184,31.291502,33.88802,4.249836,217.26654,375.16132,17.182434,14.890003,0.8486779,0.6086811,0.4459634,0.7056682,1.2305304,0.784567,10.760118,7.698419,9.388216,5.917044,0.32812712,0.7730114,18.038385,0.61757517,6.4109473,2.121453,10.874014,1.2637004,-2.6709983,-5.2118306,0.014129954,1.3737342,1.1335233,0.7095949,6.743494,0.3761015,1.1193986,7.7213006,16.766066,0.46081376,557.1332,0.3617223,1318.3151,0.15648764,-87.827126,-1.0467107,1602.8541,0.15108272,1018.593,0.28998458,-90.33465,-0.95645624,2648.8745,0.08190489,968.6545,0.34690872,-92.24061,-0.9174675,-10.880229,-0.47516748,19.751575,0.29313985,0.03095695,0.810153,-0.0157186,-0.8571047,0.39909878,0.66403365,24.162472,0.31275216,2.6480494,5.55141,10.75008,1.4753861,-8.832431,-1.4342158,-8.1999,15.962703,-0.0027791667,0.00045363195,0.22638166,4.070797,2.8994083,0.19632652,0.2627538,0.1258,0.11421189,-21.790447
/kaggle/input/interspeech-2025/train/train_habiganj_0710.wav,0 days,0 days 00:00:15.552000,34.286366,0.10516572,31.79163,33.74802,36.726315,4.9346848,225.2859,550.7442,35.341835,40.838764,0.7528145,0.7695733,0.278679,0.56173277,1.2145157,0.9358367,13.158879,8.466718,11.752066,6.8947616,0.35963252,1.048727,22.545551,0.5984499,7.657305,1.6461276,1.8802941,7.671924,-20.150656,-0.782095,0.020615425,1.5104645,1.1141285,0.73699534,8.074968,0.36771885,-0.9719417,-8.520906,23.254646,0.2955915,658.26215,0.26285997,1390.2034,0.16068427,-76.75027,-1.164677,1704.9286,0.15789975,1086.955,0.3207453,-82.78501,-0.985451,2795.7344,0.0820152,899.11865,0.4235106,-86.79671,-0.90234476,-13.446611,-0.52369833,24.40898,0.35422578,0.060151234,0.2792952,-0.03065178,-0.4781124,0.47226536,0.8373058,28.930891,0.3809372,6.1109815,2.2496698,1.684566,9.85573,-25.562082,-0.60072714,-6.5213637,13.014618,0.038501248,-0.010294844,0.14868924,4.247104,2.7131784,0.23214285,0.16875644,0.12175,0.12941962,-20.086664
/kaggle/input/interspeech-2025/train/train_habiganj_0069.wav,0 days,0 days 00:00:16.736000,36.31692,0.16465232,31.350697,35.135983,42.14355,10.792854,200.27556,166.52782,132.6242,127.74638,0.51076275,0.8632816,0.17257097,0.3963276,0.7302807,0.5577097,8.751377,6.8453264,6.933264,7.0971513,0.19852807,1.5549574,16.787165,0.66299754,-2.4426835,-4.9142103,0.5407534,23.798557,-8.571113,-1.7771395,0.037559126,1.9339685,1.2848365,0.5550406,6.1263022,0.6031406,1.955128,5.4717917,16.104807,0.65743136,751.7329,0.34487256,1248.5674,0.17652826,-71.5126,-1.2259051,1783.4886,0.15483072,1026.5144,0.30069157,-69.4427,-1.1699278,2786.6255,0.10486719,934.0557,0.37998423,-71.93133,-1.1048254,-10.143974,-0.57159346,18.316635,0.3872528,0.087132595,0.25118566,-0.008711279,-1.6545864,0.25125372,1.3484643,20.066446,0.50160396,-4.029139,-3.1499078,0.055824507,251.38498,-11.091421,-1.4964703,-4.0797987,11.40432,0.06844021,0.0055976794,0.0789215,2.5717704,3.0012004,0.2234,0.2621878,0.105476186,0.13645515,-24.696453
