file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
/kaggle/input/interspeech-2025/train/train_kishoreganj_0143.wav,0 days,0 days 00:00:16.576000,28.91319,0.14156936,26.545233,28.709763,30.815878,4.270645,404.61917,482.73828,131.31482,170.4111,0.43901363,0.7769405,0.124428935,0.34722906,0.7170692,0.5926403,4.773187,3.144481,5.4547634,3.6720126,0.14257461,0.93809247,25.860449,0.5669504,16.548296,1.0097524,12.114981,1.6151226,-4.446397,-4.1404214,0.019889677,2.3875995,0.88958186,0.78475314,7.2353425,0.38919064,4.987866,2.2101738,25.845974,0.40984175,556.6385,0.30975884,1326.9684,0.14553389,-79.136406,-1.1558912,1654.4628,0.15388745,923.7402,0.35911617,-87.13013,-0.9664149,2742.4263,0.09281802,866.9697,0.361063,-90.5066,-0.90150845,-16.757397,-0.37250116,25.008648,0.2800744,0.03969465,0.6140732,-0.026069647,-0.49925345,0.1848878,0.77104634,31.722364,0.30686197,11.403957,1.4692379,14.67562,1.4394661,-9.008481,-2.0066075,-14.51134,20.153591,0.0054358244,-0.014553002,0.07279307,2.8985507,2.6060605,0.23093022,0.25567797,0.14199999,0.111404665,-26.670452
/kaggle/input/interspeech-2025/train/train_kishoreganj_1031.wav,0 days,0 days 00:00:15.456000,34.92507,0.13467172,30.854343,34.122772,38.498108,7.6437645,90.996925,96.545845,64.15652,100.818504,1.1416644,0.6521386,0.44698521,0.9575279,1.8157505,1.3687652,10.380944,6.467837,9.174153,5.190731,0.43458202,0.86796886,14.552078,0.69227564,2.201867,7.2246857,4.90835,3.8685546,-12.084106,-1.3563255,0.025383294,1.6141332,0.9821497,0.5895878,6.159467,0.524187,5.2605996,2.1374707,13.661205,0.69795364,625.44244,0.41087517,1290.5511,0.16219145,-41.142162,-1.7285044,1697.9426,0.16237247,941.3108,0.40826565,-42.001545,-1.517708,2675.8828,0.10124595,889.8433,0.3215826,-41.731678,-1.522467,-9.209195,-0.75342214,15.924508,0.48040852,0.058435243,0.52081394,-0.024550155,-0.6834838,0.4892754,0.7778059,15.777664,0.5728697,0.77833474,20.52976,5.6829166,3.4442961,-14.0682335,-1.1628883,-6.670756,14.080437,0.041291855,-0.0071524074,0.12613387,2.5259068,1.4294997,0.5872727,0.5351651,0.10944445,0.08897392,-19.730856
/kaggle/input/interspeech-2025/train/train_kishoreganj_1166.wav,0 days,0 days 00:00:16.352000,33.045692,0.13043536,30.19105,33.271835,35.72555,5.534502,48.398247,27.395601,38.55741,36.902615,1.0964365,0.71539617,0.34514588,0.9149888,1.8695503,1.5244045,13.46376,6.6299205,13.658839,7.1408887,0.46426234,0.8980591,18.03595,0.5574025,2.908727,6.1308517,3.3550298,4.2447405,-4.113284,-4.9610586,0.027592652,1.4957192,1.0078248,0.759154,6.4815474,0.44776216,-0.8713321,-10.757312,14.010664,0.7178491,595.4827,0.3903497,1286.3757,0.1792905,-50.352665,-1.560882,1651.503,0.1594668,947.29816,0.26973647,-51.917957,-1.3838353,2646.1782,0.10257409,926.6513,0.3066194,-53.004765,-1.3498993,-10.579181,-0.59603864,18.110073,0.41276273,0.052022155,0.46558934,-0.025591943,-0.64940727,0.5395493,0.76322556,20.09712,0.40345994,0.42847127,41.156986,5.5386,2.5372276,-7.0640206,-2.871942,-7.0733624,14.619527,0.020987496,-0.006982057,0.17410778,3.8555691,1.599016,0.49076924,0.405462,0.11461538,0.13937306,-19.211817
/kaggle/input/interspeech-2025/train/train_kishoreganj_0919.wav,0 days,0 days 00:00:06.080000,37.767773,0.3322538,27.960999,30.483213,56.55445,28.593452,118.88101,76.65712,35.8098,43.54907,0.32132885,0.9875609,0.071826115,0.27456504,0.41572785,0.34390175,7.610018,7.1427455,7.4208426,9.01472,0.0981118,1.8596607,-1.4288592,-12.976272,4.218474,3.8815541,7.946327,2.054828,2.6324835,6.4206,0.028760344,1.8449824,1.0297817,0.7671113,4.9711285,0.97007585,5.854439,1.0374545,17.01234,0.9011465,669.5362,0.34826607,1127.068,0.3486682,-153.49461,-0.5360587,1714.2576,0.16408516,990.2033,0.23537894,-135.77505,-0.6597218,2753.624,0.084787734,913.3012,0.65321106,-135.91716,-0.654106,-6.1550713,-2.2712133,15.75214,0.87045896,0.021315712,1.5854137,0.0043708105,7.6352105,0.20113736,1.320688,11.973795,1.8981314,6.095796,2.8228426,5.992059,2.2643278,-3.8179986,-4.804685,5.1633015,0.6751465,-0.0063255546,0.027856193,0.045963548,1.8121912,1.3289037,0.24624999,0.2706445,0.4311111,0.4253742,-29.276707
/kaggle/input/interspeech-2025/train/train_kishoreganj_0360.wav,0 days,0 days 00:00:15.196000,33.80348,0.2671093,28.34214,32.028427,34.827286,6.4851456,369.28787,846.52924,57.777775,48.99603,0.3430971,0.9583747,0.10343097,0.23753062,0.498487,0.395056,5.6984916,4.8914576,3.9223454,3.735764,0.11477951,1.4672742,12.179062,1.6967515,17.039204,0.9918586,9.450708,1.9888549,-0.87496,-28.981565,0.025631966,1.6030855,0.8212598,0.69556564,7.819214,0.43056938,5.6796293,2.5701804,21.836596,0.9183924,680.2132,0.34036717,1307.0511,0.30418387,-100.5273,-0.92660135,1760.7008,0.16163547,1032.3073,0.32193327,-98.62352,-0.8938106,2825.0808,0.08875828,912.89264,0.36679617,-98.86408,-0.88358444,-14.282826,-0.98485506,22.371433,0.6826945,0.041288838,0.7612473,-0.019505093,-0.98510945,0.17302504,1.1661582,22.446165,0.7522177,15.937584,1.093596,10.109147,1.992844,-9.293057,-2.6671174,-2.7575269,9.71266,0.00086287165,0.010990487,0.039954476,2.0421607,1.9854401,0.27566668,0.2781928,0.22999999,0.26545557,-27.734241
/kaggle/input/interspeech-2025/train/train_kishoreganj_1583.wav,0 days,0 days 00:00:09.088000,36.0045,0.08888248,33.25971,35.26417,38.527126,5.267418,113.27053,215.28732,24.2684,16.328325,0.3797634,1.1931362,0.06622999,0.18138199,0.6301177,0.5638877,10.0466585,7.163945,7.5651665,5.7430778,0.16989167,1.6679235,25.865276,0.5019273,-17.481049,-0.6399673,-15.2159395,-0.6629812,-8.776707,-1.312321,0.01801788,1.0568057,1.2619972,0.60732,7.011892,0.5158716,-4.6025224,-1.7328631,24.08062,0.3749858,854.98676,0.18632974,1318.6425,0.14349051,-116.8886,-0.84630525,1831.823,0.11904205,1137.896,0.2807478,-119.88199,-0.76806426,2885.6392,0.075087175,1007.214,0.35306895,-124.401085,-0.69843936,-10.244741,-0.5762123,25.841906,0.3009002,0.080912024,0.18851393,-0.025068061,-0.6449044,0.3516795,0.9750124,37.565437,0.23883586,-18.187284,-0.8073092,-20.249763,-0.60445786,-16.355494,-0.6977034,-2.869622,11.897365,0.052483585,0.004659495,0.034729354,2.5358324,0.99778277,0.42,0.28894442,0.56,0.5979595,-25.015148
/kaggle/input/interspeech-2025/train/train_kishoreganj_1600.wav,0 days,0 days 00:00:18.560000,38.710613,0.10536734,35.354385,38.460953,42.075592,6.7212067,114.83935,119.811005,106.62635,345.11813,0.7340435,0.7182037,0.2937711,0.5672304,1.1408961,0.847125,13.028201,7.8629394,10.209536,6.404122,0.3159205,1.0418866,16.286264,0.6160481,-0.6362445,-30.799042,2.883313,5.081877,-10.540179,-1.7462246,0.025433348,1.7276958,1.0241851,0.7348372,7.85843,0.4980706,6.87993,1.3570424,16.089766,0.6235478,659.0586,0.34975374,1354.6622,0.18700008,-70.77403,-1.2193711,1711.3282,0.13846031,1054.2596,0.3238515,-62.94192,-1.1988441,2715.9434,0.08899472,986.3959,0.32795733,-64.20099,-1.1633903,-9.386795,-0.90662324,17.569332,0.48361707,0.032399103,0.72862357,-0.013799589,-1.1931174,0.36601198,0.95507413,18.320314,0.49048746,-3.8030128,-5.233882,3.0367596,5.1032825,-15.40088,-1.1360538,-9.06354,17.099634,0.0032466655,-0.0026120518,0.17178318,4.5822105,2.7567568,0.2617647,0.20224915,0.09780488,0.09876092,-24.009357
/kaggle/input/interspeech-2025/train/train_kishoreganj_1546.wav,0 days,0 days 00:00:17.388000,35.97411,0.09223868,33.463566,35.86384,38.628654,5.1650887,165.62616,165.17076,22.526335,15.022417,0.9571114,0.7164909,0.39534786,0.7213938,1.4922066,1.0968587,12.866219,9.791092,10.232174,7.765215,0.30869728,0.8935578,13.6033325,0.90185636,8.032046,1.8803072,3.0306711,5.3645806,-13.552531,-1.134381,0.017196925,2.0347655,0.87776786,0.76331306,8.274966,0.39764148,4.0603743,2.6238704,17.006828,0.61635494,632.3712,0.3924435,1366.6589,0.17847332,-55.591015,-1.4000701,1655.8341,0.15227877,1056.367,0.3417162,-54.083633,-1.274683,2728.119,0.09674009,974.6708,0.36957514,-56.649223,-1.1962109,-9.586097,-0.7433426,17.3864,0.5195108,0.061070956,0.3374327,-0.017730452,-0.8778769,0.34179112,0.83089584,15.848433,0.7116973,7.2241178,2.083987,2.6513531,6.271903,-16.10008,-0.87238824,-4.0690885,10.000918,0.033229135,-0.0057457155,0.17868106,3.7996547,1.9630486,0.4005882,0.4066863,0.09375,0.085064314,-21.51152
/kaggle/input/interspeech-2025/train/train_kishoreganj_0978.wav,0 days,0 days 00:00:15.264000,34.995407,0.13448995,31.398468,34.91104,37.271767,5.8732986,85.768585,121.206726,170.1514,254.17307,1.1424,0.66188467,0.373333,1.0068239,1.8654196,1.4920866,15.510709,7.2325597,11.795784,5.817344,0.47605473,0.8204736,9.095154,1.2544366,0.85614014,16.491634,7.740902,2.3206208,-6.642116,-2.0423946,0.02815765,1.3778939,1.189913,0.5653966,5.0473895,0.6059794,4.647158,2.413843,11.272357,0.8066725,632.38806,0.4625708,1254.2684,0.22159444,-86.95571,-1.072083,1698.203,0.17080359,860.6097,0.42696574,-76.43775,-1.1252698,2691.0725,0.10223595,873.3187,0.34482768,-75.18627,-1.1532695,-7.123095,-0.87636626,13.808719,0.4581655,0.06460905,0.38939598,-0.01640262,-0.8021824,0.6399664,0.5623294,13.744887,0.5730443,-2.3615153,-6.2017417,11.368895,1.6608166,-11.176413,-1.0925184,-1.5525234,8.710042,0.043989453,0.0020086963,0.16061746,3.6065574,1.9104085,0.3375862,0.28308222,0.1774074,0.24188444,-19.987823
/kaggle/input/interspeech-2025/train/train_kishoreganj_1594.wav,0 days,0 days 00:00:13.316000,38.407513,0.09216654,36.63293,38.767174,40.718025,4.0850945,67.73261,61.07802,31.313671,21.881336,0.5725093,0.7410674,0.23130465,0.45291305,0.8423914,0.6110867,9.1660595,6.6201806,7.645538,4.890654,0.23292413,1.0890005,22.913368,0.47226447,0.7800107,20.697569,-8.722928,-1.4813911,-3.8515687,-4.539061,0.026302245,2.4628053,0.99825096,0.7933299,9.683427,0.3525195,2.3393683,3.8510036,21.066555,0.38353744,718.8117,0.28537035,1374.7046,0.1486512,-67.76136,-1.2359431,1730.7883,0.14093679,1053.7334,0.27140582,-66.11302,-1.1553596,2806.8623,0.09512587,995.8939,0.29996404,-73.01562,-0.9903151,-12.357304,-0.5314814,23.677904,0.3621523,0.02778617,0.71253335,-0.0136234965,-0.9514839,0.28248483,0.9639281,26.141462,0.35447085,-2.5588977,-6.2569795,-9.252788,-1.4880471,-8.3112755,-2.0411432,-10.457248,20.684237,-0.0019012843,5.3176125e-05,0.09446267,3.7593987,2.3396227,0.3064516,0.2520055,0.103333324,0.119368695,-24.29724
