file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
/kaggle/input/interspeech-2025/train/train_rangpur_0005.wav,0 days,0 days 00:00:20.896000,31.32052,0.28997952,22.59013,32.976887,38.95136,16.361229,250.88376,434.3954,225.29439,538.00793,0.74315816,0.78956693,0.21601921,0.63134086,1.2306521,1.0146329,12.069121,7.2099195,10.401406,7.0401597,0.29360434,1.1508313,19.281567,0.96705896,-1.6971457,-11.351505,1.8317138,10.4578285,-21.259813,-1.1290307,0.024532301,1.5387892,1.2379661,0.72698593,5.200223,0.6946531,5.5744915,1.9663068,18.908184,0.6370247,641.20276,0.3758466,1286.7583,0.20528889,-65.486435,-1.3396163,1664.046,0.18012048,1014.6018,0.30189013,-64.210434,-1.2262453,2744.178,0.09646068,818.43744,0.3460247,-67.03181,-1.14152,-7.528406,-1.033146,18.475811,0.5167442,0.051768564,0.561132,-0.012055078,-1.7167848,0.34076807,1.0455099,25.674381,0.55208623,-2.7642822,-6.943605,4.00442,4.6212864,-25.034817,-0.93153185,3.0431192,7.0780873,0.04048486,0.016117875,0.1680991,3.5440614,2.68843,0.26160714,0.26606777,0.098799996,0.15219252,-23.145613
/kaggle/input/interspeech-2025/train/train_rangpur_0972.wav,0 days,0 days 00:00:15.264000,27.271656,0.3031889,21.69676,23.81655,33.485096,11.788336,545.8226,809.06244,68.63703,65.33572,0.680038,0.7281721,0.23677552,0.5739892,1.0378122,0.8010367,8.283276,5.2833476,6.478769,3.8795218,0.2863632,0.8319243,26.193392,0.52224576,0.8602812,16.331257,2.2681086,8.772621,3.4680676,4.931989,0.02903317,2.4759345,1.4191368,0.68468636,3.4748254,0.887016,8.236742,1.2081702,19.30623,0.83243585,649.3879,0.4177925,1276.4158,0.23217197,-91.13447,-1.0152605,1627.4716,0.17813002,1028.1272,0.27898613,-89.42729,-0.99378586,2692.3936,0.11533239,894.6378,0.32133663,-93.93573,-0.9083881,-7.509385,-1.0558939,20.5456,0.5038995,0.02748486,1.2264217,-0.002383255,-8.160671,0.32046986,0.7024877,29.450113,0.44855288,-1.001273,-13.00457,4.086811,5.146329,4.9214535,3.6186128,-6.153606,16.961672,0.018665202,0.002165879,0.23931246,3.0163934,2.964427,0.18777779,0.18084846,0.12911111,0.13193974,-23.745203
/kaggle/input/interspeech-2025/train/train_rangpur_0951.wav,0 days,0 days 00:00:30,34.87423,0.08376781,32.922794,35.030838,37.145363,4.2225685,191.41255,260.2836,57.310814,59.541023,1.1722193,0.33763573,0.8349384,1.1195103,1.4652808,0.63034236,14.788572,7.35468,14.8408985,8.268001,1.5238955,0.36235106,45.36118,0.23662841,8.606174,1.324206,-9.619694,-1.1588051,-0.8465685,-13.608684,0.017799478,0.7490631,1.5819947,0.61516124,4.9735065,0.37743655,0.4959028,18.96872,21.932867,0.3848481,623.0034,0.3487109,1269.9261,0.17924911,-195.68384,-0.14835435,1622.4036,0.19560038,1076.4255,0.4552373,-194.84575,-0.15882829,2697.3765,0.11446868,843.9675,0.23303358,-195.19531,-0.1495748,-10.991111,-0.5134059,24.4031,0.25009352,0.020340547,0.8851439,-0.023603508,-0.57144475,1.5251625,0.3096595,34.667576,0.23692577,-3.0181248,-4.033221,-6.399945,-1.8961917,-13.3052435,-0.73335034,-15.592549,33.366238,0.004217604,-0.02685934,1.5233185,8.2694235,0.6012024,0.042777777,0.023992022,1.5157895,2.524606,-15.684816
/kaggle/input/interspeech-2025/train/train_rangpur_0968.wav,0 days,0 days 00:00:16.128000,28.861425,0.27847445,23.881796,25.656641,32.405254,8.5234585,325.5409,479.53156,159.24289,218.68434,0.5555334,0.8323333,0.138472,0.42036465,0.911448,0.772976,8.154686,6.5952544,6.6814713,4.2534194,0.22187306,1.0320504,23.894434,0.5496125,5.310557,2.697328,10.7123375,2.071643,-5.853045,-2.9365864,0.023457544,1.3273522,1.2962638,0.6217263,4.86716,0.5279214,1.9647915,5.2824593,21.22835,0.52855307,606.0942,0.4203848,1298.4259,0.19131356,-73.79093,-1.2236668,1641.6923,0.17293207,967.4805,0.34282,-77.08569,-1.0717711,2725.9944,0.098265246,846.3055,0.47164312,-80.247505,-1.0012765,-11.389448,-0.6527081,21.61791,0.41233626,0.03558463,0.8193281,-0.006405795,-2.973111,0.2769489,0.8672415,27.430504,0.4274549,4.964507,2.9406164,12.824013,1.8107417,-3.8100717,-4.6631713,-6.666013,15.346585,0.02863859,0.004690575,0.112955794,3.1657357,2.9887922,0.21354166,0.21415032,0.10909091,0.11094261,-24.01931
/kaggle/input/interspeech-2025/train/train_rangpur_0453.wav,0 days,0 days 00:00:15.076000,31.410921,0.13474037,29.342354,32.48294,33.809494,4.46714,90.11545,91.49905,187.37033,340.76892,0.3879119,1.3533945,0.026935361,0.08067852,0.73209375,0.7051584,6.599416,4.29939,6.025664,3.2445226,0.11601373,1.5688938,14.687771,0.95122266,4.7485065,2.906014,-3.2123005,-5.045205,-2.7632444,-6.400136,0.016269347,1.9758761,1.0082484,0.8065114,7.665707,0.4140793,-0.103089385,-99.86495,20.55452,0.5304916,605.53253,0.36738312,1355.2338,0.1859468,-115.7993,-0.83776575,1627.8948,0.16468793,1039.7751,0.34043965,-116.26585,-0.78879,2770.544,0.10179546,841.31824,0.41249242,-119.282455,-0.74030864,-12.4256315,-0.5467723,23.302584,0.35000452,0.053588647,0.4263322,-0.01923657,-1.051451,0.23566097,0.8753546,24.921225,0.41137686,6.9447217,2.2124398,-5.3515005,-3.8925114,-14.918086,-1.0240699,-0.28950316,11.93896,0.011496325,0.029167397,0.018509163,1.9256309,1.1992006,0.36277777,0.3067537,0.38333333,0.46901447,-25.170797
/kaggle/input/interspeech-2025/train/train_rangpur_0710.wav,0 days,0 days 00:00:17.216000,25.46955,0.07347338,23.92465,25.383907,27.308065,3.3834152,34.290623,33.012333,34.260902,63.386063,0.6727539,0.69617814,0.26571843,0.5205675,1.0371262,0.7714077,9.716125,8.143896,8.07802,6.683889,0.24583997,1.0680392,10.824376,1.0896254,6.9704337,1.2874823,2.1324127,4.8701444,-1.8909205,-4.7646,0.015289182,1.0057975,1.1818875,0.6113264,4.9254007,0.47979683,3.9071963,1.2501571,20.360395,0.3199157,577.9862,0.41714433,1359.606,0.15734898,-147.20872,-0.5855199,1575.3098,0.186692,1053.44,0.2385958,-148.06522,-0.56309694,2606.9849,0.11201424,922.838,0.25932488,-149.92917,-0.5357259,-10.690735,-0.40936056,20.300573,0.24979433,0.042584535,0.35941267,-0.015635774,-0.7050352,0.37927592,0.58281434,24.14524,0.3295649,6.3932586,1.925465,2.6219232,5.7313957,-1.542906,-6.417579,-4.2475467,11.815241,0.033181828,0.0007615876,0.19465426,2.6744187,0.93294466,0.29,0.24571325,0.71647054,1.3232354,-24.412004
/kaggle/input/interspeech-2025/train/train_rangpur_0827.wav,0 days,0 days 00:00:15.680000,29.025784,0.16808106,24.05607,29.047165,32.66695,8.61088,26.68714,19.173185,17.08201,9.145156,0.71895295,0.82059515,0.14063913,0.63045835,1.2208493,1.0802102,11.743713,6.7599354,9.491872,5.9066095,0.29604638,1.0118307,21.55264,0.70287037,10.216792,1.303954,-3.9728298,-4.4020386,-2.115083,-7.5281296,0.01880994,1.5156301,1.1639231,0.7654459,6.293393,0.46832752,0.4406289,18.226055,24.027216,0.38083866,601.19116,0.3781122,1362.4781,0.16798422,-72.341995,-1.255457,1607.9695,0.18444331,1052.8066,0.2735189,-75.52299,-1.1203458,2687.9448,0.112126306,925.4761,0.32620353,-81.4239,-0.9891913,-12.529296,-0.5064021,24.324503,0.34053293,0.049815476,0.55947804,-0.018287906,-0.9654603,0.4009768,0.735268,27.997223,0.41753176,11.076872,1.2287569,-3.9070284,-4.9480944,-6.4902864,-2.4245522,-5.0819464,14.436594,0.024713272,0.017947812,0.08048416,3.7651563,1.5364916,0.42916667,0.32797253,0.19916666,0.38738346,-21.17312
/kaggle/input/interspeech-2025/train/train_rangpur_0209.wav,0 days,0 days 00:00:15.364000,35.776424,0.15003628,31.522594,35.135944,39.336372,7.813778,190.9504,401.53558,175.7329,371.15582,1.6782756,0.47584066,0.96537733,1.6934541,2.4055293,1.4401519,14.056793,6.784514,13.7555685,7.037507,0.83676875,0.60855377,23.453922,0.457414,-11.725643,-1.3564934,-15.8474045,-1.0722674,-17.903633,-0.88587546,0.035008043,1.7061753,1.1882774,0.5983587,5.2764363,0.82354796,0.6973804,15.668083,15.556481,0.63256234,706.6511,0.3573858,1305.0599,0.17934908,-30.16666,-2.34004,1691.8364,0.1742228,1066.8953,0.3038802,-28.97312,-2.170239,2759.3928,0.09942884,877.9037,0.37074977,-35.680637,-1.6870261,-6.7030206,-0.78631926,19.269646,0.35756356,0.0741608,0.30612502,-0.018810233,-0.7395042,0.87478393,0.5764001,24.067904,0.3980173,-13.521064,-1.121866,-15.52401,-1.1347673,-19.310402,-0.81292844,-6.3797407,17.150713,0.06660639,-0.016847564,0.6104933,4.4951143,1.9620668,0.43400002,0.40499052,0.063461535,0.04159718,-14.592433
/kaggle/input/interspeech-2025/train/train_rangpur_0388.wav,0 days,0 days 00:00:15.552000,33.35233,0.14997861,30.237997,32.094658,36.934006,6.6960087,201.99915,370.00143,244.26477,547.4567,1.0251694,0.8075294,0.24810526,0.875888,1.7416207,1.4935154,15.9905815,8.399835,15.955656,7.6990447,0.48510423,0.9459414,26.135218,0.518222,-0.24613772,-64.80328,2.2096055,7.131527,-11.587748,-1.6608611,0.022756824,1.9337837,1.1970718,0.72141486,6.9428587,0.5244405,3.0163572,3.3169568,19.66453,0.51708513,594.7908,0.4135617,1268.1746,0.17497084,-66.5719,-1.2780255,1598.1859,0.19503999,1034.684,0.30488968,-61.803875,-1.261406,2690.7605,0.1090958,886.2185,0.3819257,-68.60879,-1.0767474,-8.664199,-0.78681976,20.729351,0.39996102,0.05008107,0.50927997,-0.008177312,-2.3225353,0.5888493,0.78227323,28.919361,0.40959147,-1.9662325,-8.211841,3.3983514,4.5949044,-14.075892,-1.3968642,-5.2085238,16.936327,0.02588452,0.00823116,0.20140205,3.7966537,2.459547,0.29157895,0.25567788,0.09342105,0.120006055,-17.30393
/kaggle/input/interspeech-2025/train/train_rangpur_0178.wav,0 days,0 days 00:00:15.712000,35.546192,0.14839019,32.069885,34.928493,38.298264,6.2283783,145.59793,167.36374,94.40443,152.90498,1.4009231,0.41491807,0.890205,1.3655152,1.8940456,1.0038406,14.130686,7.1412086,14.254039,7.388463,0.877987,0.65756196,34.626278,0.3177598,-10.935364,-1.336238,-8.771046,-2.0234914,-9.467373,-1.946605,0.026828146,1.9570794,1.0507994,0.59465194,7.235846,0.5684304,6.474225,1.9165205,25.982103,0.4814585,702.0614,0.36230245,1366.1343,0.19518802,-28.972397,-2.1918674,1683.9519,0.16692008,1088.3556,0.26971608,-31.17781,-1.7306584,2821.1614,0.11479298,895.79474,0.37155846,-39.446037,-1.2988075,-11.207154,-0.62488353,25.112448,0.28427172,0.064073525,0.49366406,-0.017566921,-0.9346253,0.910776,0.6384913,35.601284,0.28462356,-10.948416,-1.3165749,-8.101269,-2.2142582,-11.738986,-1.487384,-3.8351145,17.602703,0.019375915,0.0007583141,0.6259933,5.3503184,1.7252396,0.51,0.39372858,0.0528,0.035159066,-13.766219
