reference,prediction_lm,prediction_ctc,wer_lm,cer_lm,wer_ctc,cer_ctc,audio_path
"অরে বিশটা টাহা দিছি, অর পোলারে বিশটা টাহা দিছি। পোলার বিশ টাহা খাইয়া অর বিশ টাহা নেতে অইছে। টাহা বাও আতে লইয়া, এমন ভাবে হিরি-মিরি দিয়া ডাইন আইদ্দা ধরছে অরে চাইপ্পা। এহন, ঠিকই তো করছে, ও ছাড়েই আর ও ছুইড্ডা যাওয়ার চেষ্টা করে পারে না, ঘোরতে ঘোরতে দোনোডা পড়ছে ঢ্যাফোড়াইয়া","আর বিশ টাতা দিছি আর লো্ার বিশটে টাতা দিছিৎ লো্ার বিশ টেতা খাইয়া, থর বিশ টোনিঙে আছেৎ াতা বাবাঙে ্ইয়াৎ ঋঅন লালে তেরঅরদি  ৃরছেআর চাইব""ল""ৎ ধ সাজ়েইনার ধ ছুইজজে যযর চেশটর লারেনা ঘরঙে ৌরঙে দহরজা লরছে দ""যালেরাইয়েৎ","আর বিশটেহ টাহা দিছি আর পোলার বিশ টেহে টাহা দিছি। পোলার বিশ টেহা খাইয়া, অওর বিশ টেহা নিতে আছে। াহা বাওযবাতে লইয়া। এমন পাপে হেরিমের দিয় ডনর ধরছেআর চাইব্প্য। ও সাাড়েই না। র ও ছুইড্ডে যেওয়ার চেশটরে পারে না, ঘরতে করতে দৌরুডা পরছে দ্যাপেরাইয়ে।",0.96,0.48363636363636364,0.82,0.33090909090909093,/home/farig/Documents/nazia/lstt/interspeech2025/test/test_barishal_0001.wav
"গরম লাগে কী আছে? কই দেহি। ও পড়বে হোনেন না? ও দেইক্কা মনে অয় ই করছে। না এতে গরম লাগে তো, হাত দেয় নাই, ইদের সময় কিনছি না, কাইলগো ওই পোলায় হেই রাত্তিরে বাইর কইররা পড়াই দেছে","গরন ্াগে  চুজ়ি দছে  থঙা ধই দিছেৎ দেৌে অনেয় ৌর না ঋইঙো গরন ্াগে ঙো তাঙ""ছিৌু নিয়ে যায়, রাচ""সাঙের চজ়ি ৌৎ দেয় না েইয়দৌে ৌা: ফ্া ঋে রঙ""েরে ভাইৌেে ৌরায় দিছে","গরন লাগে  চুড়ি দিছে ক অতছাে ওই দিছে। না দেখ্কে মনেয় করে। না এইতো গরন লাগে, তো হাত্ছিকু নিয়ে যায়, রাচ্সাতের চুড়ি করে। দেয় না, হেইয়াদ বইক্কেছে? কাজমা ফলা এেইযে রাত্তেরে ভাইর কেদে করায় দিছে ।",0.972972972972973,0.6914285714285714,0.972972972972973,0.6285714285714286,/home/farig/Documents/nazia/lstt/interspeech2025/test/test_barishal_0002.wav
"দেখি না, চোখে দেখি না, চশমা ছাড়া, খালি দেখি বইসসা রইছে। ওয়া কার কতা কইলেন যে ওই মায়রে, গরু ঘরে ফ্যান দেছে, মায়রে দেয় না ফ্যান? ওই উত্তরবঙ্গে কাইলকে নেডে দেহাইছে। হেয়া দেহায় কত, নেডের কারবার, না নেডের কারবার না বাস্তব","দেখিনা ছখে দেখি না, ছশ অাছার খা্ি দেখি বইসসা্ইৌি:িনিয়ৎ ধ ৌার ৌঙা ৌই্েন যে ধই অায়রে গরুর গরে ফ""যান দিছে অারে দ""যানা ফ""যা ঙা উঙ""ঙরব গি ৌা্ৌে নিইজা দেতাইছেৎ  আদ দে তা  ৌােজে খারবের না বাস""ঙৌৎ","দেখি না ছখরে দেখি না, ছশ মাছারা, খালি দেখি বইসসালই ককিজি নি য়া। ওা কার কতা কইলেন যে ওই মায়রে, গরুর গরে ফ্যান দিছে মায়রে দ্যা না ফ্যা। তাা উত্তরবং্গি কাইলকে নিইডা দেহাইছে। ওএ আদ দে হাইছে ে কা কানামেডের খারবের না বাস্তক।",0.8780487804878049,0.43946188340807174,0.6341463414634146,0.29596412556053814,/home/farig/Documents/nazia/lstt/interspeech2025/test/test_barishal_0003.wav
"বাস্তবেই তো, মিডিয়া গ্যাছে, হেইনের মেয়র গ্যাছে, নানান প্রশ্ন। হেয়া মনে করেন এক লোক চালাইলো হেইয়া দ্যাকলাম পাঁচ-ছয় জোনে। অনেক প্রশ্ন। পরে হ্যাষে মাফ চাইছে কয় আসলে আমার ভুল অইছে আমি মাফ চাই, আমি এরম কাম আর কোনোদিন করমু না। ওইরম কয়ই, হালারপো হালা, ওই যে দেকছি এক্কারে গায় না আড্ডি নাই, হয়, মানে মাংস নাই খালি আড্ডি","বা অেজাইয়া গ""যছে তেনের অের গ""যাছেৎ না নান ল""রশ""নো তেয়া অনে ৌরেন ঋৌ ্োৌ চা্াই্ো তেইয়া দেখ্াঅ লাূচ-চা়:নেৎ থনেৌ লঝরশ""নৎ লরে তসে অাফ ছাইছোৌআস্া অার ভু্ থইছে আঅি অাফ চাই আঅি ঋরঅ ৌাঅার ৌোনোদিন ৌর ননইৎ ঋরঅ ৌ, ধই দে অি  ৌরে  গায় না, আজ""জি নাইৎ ত অা সো নাই, খা্ি আজ""জিৎ","বাজত মেডাইয়া গ্যাছে হেনের মের গ্যাছে। না নান প্রশ্নো। হেয়া মনে করেন এক লোক চালাইলো হেইয়া দেখলাম পাঁচ-চা়জনের। অনেক পূরশ্ন। পরে হেসে মাফ ছাইছো কা আসলা আমার ভুল অইছে আমি মাফ চাই, আমি এরম কামার কোনোদিন করি নানাই। আ এরম কযই, ওই এদে কমিয়া া করে  গায় না, আড্ডি নাই। হ মাংসো নাই, খালি আড্ডি।",0.9827586206896551,0.4625,0.6206896551724138,0.271875,/home/farig/Documents/nazia/lstt/interspeech2025/test/test_barishal_0004.wav
"এহেইনদিয়া বউর কতায় এহিনদা টানতে টানতে আমাগো দরজা ছাড়াইয়া নিছে আর পিডায় আর কান্দে, ""ওরে বাবারে আমারে এরম টানিছ না, আমার পার ছাল যায় আমি ব্যতা পাই"", হেইয়াও তো মিডিয়া মুডিয়া কত আইছে, বাস্তবের গটনাই কিন্তু ওইয়া দেহায়, শিখার জন্য কিন্তু কাজে দেয়া না","ঋতন দিয়া বউর ৌঙা নদা আঅাগো ঙোথর:া ছাজ়াইয নিছেৎ আর লিজাই আর ৌান""দরে বাার আঅার ঋরুঅ টানিছ নাৎ আঅার লার চা্ যাইঅ ব""যাঙা বাইৎ তেইয়াধ ঙো অিজিয়া অুজিয়া ৌঙ থইছেৎ বাসঙবের ঘটনাই ৌিন""ঙু ধই়া দেতাই শিৌার :ন""য ৌিন""ঙু ৌা:ে দেয় নাৎ",এহেন দিয়া বউর কতা হেনদা টানতে াত আমাগো তো অর জা ছাড়াইয় নিছে। আর পিডাই আর কান্দরে বাবারে আমার এরুম টানিছ না। আমার পার চাল যাইমি ব্যাতা বাই। হেইয়াও তো মিডিয়া- মুডিয়া কত অইছে। বাসতবের ঘট নাই কিন্তু ওইয়া দেহাই শিকাের জন্য কিন্তু কাজে দেয় না।,0.9318181818181818,0.39453125,0.6818181818181818,0.1875,/home/farig/Documents/nazia/lstt/interspeech2025/test/test_barishal_0005.wav
"হেরও ছয় পোলা তিন মাইয়া, সবাই বড় বড় প্রোফেশনে, ওই বাত পড়বে, শিক্ষিতরাই এই কাম বেশি করে, নাই বাত খাওয়া শ্যাষ, আমি দেকছি","ত""যরো ছয় লো্া ঙিন অাইয়া সবাই বরবর ৌরবে ন? শিৌ""ষিঙ রা ঋই ৌোা বশ ফাশাষৎ আঅি দেৌছি",হ্যারো ছয় পোলা তিন মাইয়া সবা় বরবর করবে ক লান? শিক্ষিত রা এই কোতা বেশি? ফাশাষ। আমি দেকছিন,0.9130434782608695,0.5691056910569106,0.782608695652174,0.4715447154471545,/home/farig/Documents/nazia/lstt/interspeech2025/test/test_barishal_0006.wav
"আম্নে দ্যাকপেন, আফু বাত পড়বে, আমাগো মতো দিনমজুরির রিকশা আলারা, ব্যান আলারা, বদলা-কামলারা জীবনে মা-বাফ হালাইবে না, আইগগা যতি মাহেও হেই বিছনা পোলাপানে পরিস্কার করে, তমু হালাই দে না আর যত এই দুই-একটা বড় ধরনের গটনা দেহি, এয়া বড়লোকের বিত্রে অয়, মান-সন্মান, প্যাট্টিসে বাজে মা-বাফ পরিচয়ই দেতে আরে না","আঅনে দেখলেন নবগ  আঅাগে অঙো দিনঅ:ুরী রিৌশে্ারা ভ""না্ারা বদ্াখাঅ্রা :ীবনে অাবা ফা্াইবে নাৎ আইগগা যঙি অাতেধ তই বছনা ফো্ালানে লরিষ""ৌা ৌরেৎ ঙোঅা তা্াই দেনৎ আর ঋই যঙদুই ঋৌটা বজ় ৃরেনের ঘটনা দেতি বজ়্োৌের বিঙরে থয় অান সান""অান ল""যিসে বা যে অাবা লরিচয়ে দেয় তারে নাৎ","আমনে দেখপেন নাব গাক পান। আমাগে মতো দিনমজুরী রিকশেলারা ভ্যনালারা বদলা খামলারা, জীবনে মাবা ফালাইবে না। আইগগা যতি মাহেও হেই বিছনা ফোলাপানে পরিষ্কা করে। তোমা হালাযই দেনা। আর এই যতই দুই একটা বড় ধরেনের ঘটনা দেহি। বড়লোকের বিতরে অয় মান সান্মান প্যাটিসে এবা যে মাবা পরিচয়ে দেয় হারে না।",0.9795918367346939,0.43812709030100333,0.8571428571428571,0.2508361204013378,/home/farig/Documents/nazia/lstt/interspeech2025/test/test_barishal_0007.wav
"এহন অরে ঢাকা দিছে ওই বুলেট কলেজে পড়তে ও বিশাল বড় ধরনের একটা ছাত্র অইছে। এহন চাকরি পাইবে, বাংলাদেশ সরকার চাকরী দিছে দুই লাক টাহা বেতন। বিয়া করলো পটুয়াখালীর এক রূপোসী মাইয়া। কইবে ওই ফকিন্নিগো পরিচয়ই দিবি না, অর বাফে তো যাইবে একটা শার্ট গায় দিয়া","ঋতন থর থরে ঢাৌা দিছেই বু্েট ৌ্ে:ে লরঙে ধ বিশত্ বজ় ৃরনের ঋৌটা ছাঙ""র তইছেৎ ঋতন চাৌরি-ফিবে বাং্াদেশ সরৌার চাৌরি দিছে দুই্েৌ টাতা বেঙুনৎ বিয়া ৌা্ো ফোটো ্ির ঋৌ রুফ সিঅাইয়াৎ ৌইবো ফোৌইন""গো লরিচয়ে দিবিনে থর বালেঙো যাইবা ঋৌটা সার""টগায় দিয়া",এহন অর অরে ঢাকা দিছে ওই বুলেট কলেজে পরতে ও বিশহল বড় ধরনের একটা ছাত্র হইছে। এহন চাকরি-ফিবে বাংলাদেশ সরকার চাকরি দিছে দুইলেক টাহা বেতুন। বিয়ো কানলো ফোটোয়ো খালির এক রুফ সিমাইয়া। কইবো ফোকুইন্নযিগোই পরিচয়ে দিবিনে অর বাপে তো যাইবা একটা সার্টগায় দিয়া,0.9347826086956522,0.38,0.5652173913043478,0.188,/home/farig/Documents/nazia/lstt/interspeech2025/test/test_barishal_0008.wav
"পায় এট্টু চডি পিইন্দ্যা, এয়া পরিচয় দেলে, বউর প্যাট্টিসে থাকে না, হ্যাষে কী করবে উনি ওনার বাবারেই চেনবে না। না, এইরম অয়, বিয়া করলে করবি নোয়াখাইল্লা, হাইতান্নো। হাইতান্নো, ক্যা বাড়ি একজোনে করছে না, হেয়ারপর বোলে বাড়িই আয় নাই","লটু ছজি ফিন""দাৎ লরিছয় দি্ে র লে ঃাৌে না ত""যাসে ৌী ৌরবে উনিধন আর বাবার ই চেনবে নাৎ নাৎ ঋইরোঅ য়ৎ বিয়া ৌর্ে ৌরবে নোধয়া খাই্""্াৎ তাইঙান ন? তাইঙান""ন?  া অ্ ৌরছ তযা় বাবারি য়া","পাটটু ছডি ফিন্দা। ত পরিছয় দিলে বউর প্রযাট ফিতে থাকে না, হ্যাসে কী করবে উনিওন আর বাবারে ই চেনবে না। না। এইরোম য়। বিয়া করলে করবে নোওয়া খাইল্লা। হাইতান ন? হাইতান্নো? আরা া মলে এক কর ছ হযা় বাবারি য়া।",0.9473684210526315,0.49783549783549785,0.8421052631578947,0.3116883116883117,/home/farig/Documents/nazia/lstt/interspeech2025/test/test_barishal_0009.wav
"নোয়াখালী? নোয়াখালী? ওই এর, মনাইর বড় পোলা। এ আর অরা যে কী কয়, হাইতান্নো, হুইতান্নো, আস আয়, মানে আসতে আসতে মইররা যাওয়া লাগে আমাগো লগে একটা পোলা আছিলো, নাম অইলো আরিফ, বইয়া খাও, বইয়া খাও, হের জ্বর আইলে যে চিকরা-চিকরি শুরু করতো","ঋত  রা যে ৌি ৌয়? খাইঙা""ন তুইঙা  অানে আসঙেআসঙে অরি :া্গে আ গো ্গে ঋৌটা ফো্া আছি্ নাঅ থই্ো আরিলৎ ঙোৌ বইয়া খা, বইয়া খাধৎ তেযা, :রই্ে যে চিৌরের চিৌরি শুরু ৌরঙোৎ","মনদ এহে র হরা যে কি কয়? খাইতা্ন হুইততা  মানে আসতেআসতে মরি জালগে আংগো লগে একটা ফোলা আছিল নাম অইলো আরিপ। তোক বইয়া খাও, বইয়া খাও। হেযা, জরইলে যে চিকরের চিকরি শুরু করতো।",0.9047619047619048,0.5652173913043478,0.7857142857142857,0.43043478260869567,/home/farig/Documents/nazia/lstt/interspeech2025/test/test_barishal_0010.wav
